Date,Open,High,Low,Close,Adj Close,Volume
2020-11-10,40.900002,42.250000,40.610001,42.209999,39.403870,1900600
2020-11-11,42.610001,42.980000,42.000000,42.459999,39.637253,1243700
2020-11-12,42.080002,42.430000,41.090000,41.279999,38.535694,1361500
2020-11-13,41.619999,42.224998,41.520000,41.980000,39.189156,1861400
2020-11-16,42.630001,43.400002,42.130001,43.349998,40.468082,1677400
2020-11-17,43.099998,43.974998,42.540001,43.889999,40.972191,1168100
2020-11-18,44.000000,45.439999,43.650002,44.349998,41.401608,1816300
2020-11-19,44.040001,45.020000,43.689999,45.009998,42.017727,2036400
2020-11-20,44.970001,45.555000,44.439999,45.330002,42.316456,1257500
2020-11-23,45.730000,47.250000,45.680000,46.590000,43.492687,2225600
2020-11-24,47.230000,48.869999,46.799999,48.080002,44.883636,2155700
2020-11-25,47.750000,48.730000,46.889999,48.590000,45.359730,1356600
2020-11-27,48.680000,49.770000,48.590000,49.410000,46.125214,1304600
2020-11-30,49.259998,49.509998,48.389999,49.270000,45.994526,1778500
2020-12-01,49.810001,50.040001,49.080002,49.459999,46.171898,1357600
2020-12-02,49.270000,49.790001,48.759998,48.939999,45.686466,1305700
2020-12-03,48.619999,49.860001,48.599998,49.290001,46.013199,1285500
2020-12-04,49.700001,50.810001,49.625000,50.650002,47.282780,2175700
2020-12-07,50.490002,50.509998,49.639999,50.099998,46.769348,1043300
2020-12-08,49.750000,50.360001,49.730000,50.110001,46.778683,756000
2020-12-09,50.279999,50.529999,49.544998,50.110001,46.778683,823900
2020-12-10,49.950001,49.970001,48.810001,49.200001,45.929176,1140300
2020-12-11,48.759998,49.185001,48.509998,49.060001,45.798492,594000
2020-12-14,49.430000,49.919998,48.810001,48.820000,45.574436,1484500
2020-12-15,49.389999,49.480000,48.439999,49.209999,45.938511,850000
2020-12-16,49.590000,49.590000,47.549999,48.320000,45.107685,1247100
2020-12-17,48.669998,48.669998,47.939999,48.450001,45.229042,991200
2020-12-18,48.509998,48.849998,47.630001,47.790001,44.612919,1426300
2020-12-21,46.889999,47.779999,46.549000,47.680000,44.510231,1089600
2020-12-22,47.759998,47.820000,46.439999,46.509998,43.418003,1392400
2020-12-23,46.709999,46.990002,46.250000,46.950001,43.828766,4470700
2020-12-24,46.950001,47.380001,46.840000,47.299999,44.155491,427400
2020-12-28,47.500000,47.740002,46.595001,46.700001,43.595379,644800
2020-12-29,47.000000,48.060001,46.860001,47.160000,44.024792,1089500
2020-12-30,46.799999,47.779999,46.799999,47.169998,44.458351,854500
2020-12-31,47.250000,48.580002,46.919998,48.160000,45.391441,1658600
2021-01-04,48.779999,49.840000,48.450001,49.430000,46.588432,3059200
2021-01-05,49.529999,50.580002,49.310001,50.130001,47.248192,2875900
2021-01-06,50.790001,52.000000,50.419998,51.759998,48.784492,3606500
2021-01-07,52.150002,52.650002,51.450001,51.689999,48.718510,2562700
2021-01-08,51.750000,51.956001,50.369999,51.400002,48.445190,1145900
2021-01-11,50.459999,51.669998,50.450001,51.360001,48.407486,1068100
2021-01-12,51.000000,54.790001,50.689999,54.450001,51.319847,3058800
2021-01-13,54.730000,55.119999,53.220001,53.230000,50.169987,3062400
2021-01-14,53.180000,54.279999,52.730000,53.980000,50.876869,1801000
2021-01-15,53.549999,54.230000,53.105000,53.639999,50.556416,1294700
2021-01-19,53.820000,53.990002,53.110001,53.470001,50.396187,1161700
2021-01-20,53.939999,53.990002,52.500000,53.410000,50.339634,1194900
2021-01-21,53.680000,54.180000,53.360001,53.980000,50.876869,2026500
2021-01-22,53.349998,53.619999,52.700001,52.700001,49.670448,1537900
2021-01-25,52.520000,53.080002,51.580002,52.930000,49.887234,1535000
2021-01-26,53.000000,53.490002,52.340000,52.740002,49.708157,1332100
2021-01-27,51.669998,52.070000,50.009998,51.020000,48.087029,1904900
2021-01-28,51.250000,52.160000,50.529999,51.740002,48.765636,1215700
2021-01-29,51.500000,51.630001,49.099998,49.169998,46.343380,2211100
2021-02-01,49.610001,49.980000,49.279999,49.750000,46.890041,1733400
2021-02-02,50.250000,51.130001,49.730000,50.740002,47.823124,1054000
2021-02-03,50.959999,51.750000,50.750000,51.459999,48.501740,1161300
2021-02-04,51.580002,52.830002,51.110001,52.209999,49.208618,1522700
2021-02-05,52.480000,53.720001,52.419998,53.560001,50.481014,1969900
2021-02-08,53.990002,55.209999,53.900002,54.770000,51.621456,1710500
2021-02-09,55.029999,55.360001,53.770000,54.610001,51.470657,1595500
2021-02-10,55.349998,55.950001,54.238998,55.200001,52.026737,3108700
2021-02-11,55.779999,55.779999,54.410000,54.939999,51.781681,1972100
2021-02-12,54.919998,56.337002,54.549999,56.009998,52.790169,2046600
2021-02-16,56.540001,57.049999,56.099998,56.639999,53.383949,2495700
2021-02-17,56.220001,56.320000,55.400002,55.849998,52.639370,2264500
2021-02-18,56.779999,57.730000,55.259998,55.599998,52.403740,3638800
2021-02-19,56.419998,56.900002,56.029999,56.500000,53.252003,2475500
2021-02-22,56.040001,56.630001,55.900002,56.500000,53.252003,3814700
2021-02-23,56.060001,56.320000,54.880001,56.000000,52.780746,2176900
2021-02-24,56.000000,57.060001,55.860001,56.509998,53.261421,2188000
2021-02-25,56.700001,56.950001,55.529999,55.669998,52.469715,2565800
2021-02-26,55.669998,55.669998,53.599998,53.959999,50.858021,2005900
2021-03-01,55.000000,55.919998,54.939999,55.689999,52.488567,1321300
2021-03-02,55.810001,56.419998,55.470001,55.709999,52.507420,1530400
2021-03-03,55.820000,55.930000,54.810001,54.830002,51.678005,1684000
2021-03-04,54.900002,55.020000,52.590000,53.250000,50.188839,2678300
2021-03-05,53.849998,54.840000,52.930000,54.590000,51.451809,2496900
2021-03-08,54.700001,56.389999,54.549999,55.450001,52.262363,2890500
2021-03-09,55.860001,57.020000,55.500000,56.430000,53.186024,1554700
2021-03-10,57.169998,57.299999,56.459999,57.110001,53.826935,1519600
2021-03-11,57.200001,58.575001,57.200001,58.540001,55.174725,1703600
2021-03-12,58.189999,58.730000,57.900002,58.430000,55.071060,1344300
2021-03-15,58.599998,58.959999,58.340000,58.810001,55.429207,1527100
2021-03-16,58.900002,58.900002,57.980000,57.980000,54.646919,3143700
2021-03-17,58.090000,58.330002,57.360001,58.099998,54.760021,1318400
2021-03-18,58.080002,59.764999,57.570000,57.590000,54.279343,2039900
2021-03-19,57.529999,57.669998,56.250000,56.990002,53.713833,1870700
2021-03-22,56.990002,57.189999,55.775002,56.000000,52.780746,3808800
2021-03-23,55.689999,55.910000,54.485001,54.549999,51.414101,2774000
2021-03-24,54.980000,55.290001,54.250000,54.439999,51.310421,1915100
2021-03-25,54.290001,55.099998,53.430000,55.009998,51.847652,1445900
2021-03-26,55.250000,56.320000,55.090000,56.040001,52.818443,1864700
2021-03-29,55.959999,56.950001,55.090000,55.139999,51.970181,1520600
2021-03-30,54.369999,54.985001,54.200001,54.480000,51.780098,1003000
2021-03-31,54.450001,54.549999,53.200001,53.889999,51.219334,3917800
2021-04-01,54.430000,54.669998,53.400002,54.490002,51.789600,2801100
2021-04-05,55.650002,55.910000,55.060001,55.090000,52.359867,2562000
2021-04-06,55.360001,56.110001,54.799999,55.770000,53.006168,1338900
2021-04-07,55.689999,55.830002,55.139999,55.610001,52.854099,746600
2021-04-08,55.610001,55.669998,54.369999,54.680000,51.970184,1456200
2021-04-09,54.500000,54.950001,54.360001,54.919998,52.198296,1266900
2021-04-12,55.130001,55.209999,54.459999,54.470001,51.770596,1177300
2021-04-13,54.730000,54.740002,54.139999,54.349998,51.656532,1228700
2021-04-14,54.540001,56.790001,54.400002,56.680000,53.871075,2613200
2021-04-15,56.980000,57.080002,55.869999,56.230000,53.443367,1311100
2021-04-16,56.660000,56.820000,55.840000,56.020000,53.243778,1829600
2021-04-19,55.529999,55.930000,53.820000,53.950001,51.276363,2787100
2021-04-20,53.779999,53.990002,52.669998,52.830002,50.211872,2302400
2021-04-21,52.599998,54.380001,52.280998,54.119999,51.437927,2209000
2021-04-22,54.070000,54.250000,53.459999,53.740002,51.076767,1296800
2021-04-23,53.900002,54.020000,53.330002,53.849998,51.181316,1079700
2021-04-26,54.369999,55.055000,54.220001,55.049999,52.321850,1823000
2021-04-27,55.049999,55.615002,54.470001,55.599998,52.844593,2220500
2021-04-28,55.680000,56.660000,55.470001,56.340000,53.547916,2032400
2021-04-29,57.500000,57.500000,55.599998,56.169998,53.386341,1456300
2021-04-30,55.680000,55.950001,54.849998,55.189999,52.454910,1349000
2021-05-03,55.820000,56.380001,55.680000,55.959999,53.186752,1237700
2021-05-04,56.709999,58.384998,56.279999,58.349998,55.458305,3497200
2021-05-05,58.580002,59.720001,57.910000,59.049999,56.123619,2421000
2021-05-06,59.110001,59.680000,58.049999,59.570000,56.617847,2521400
2021-05-07,59.680000,61.950001,59.160000,61.389999,58.347652,2825700
2021-05-10,61.950001,62.369999,61.490002,61.750000,58.689804,2780100
2021-05-11,60.669998,62.040001,60.299999,61.470001,58.423691,2462200
2021-05-12,61.470001,61.950001,59.610001,59.919998,56.950497,1715900
2021-05-13,59.740002,60.070000,58.840000,59.290001,56.351727,2040600
2021-05-14,59.810001,60.869999,59.709999,60.540001,57.539776,1841300
2021-05-17,60.250000,61.169998,59.910000,61.130001,58.100544,1640000
2021-05-18,61.400002,62.320000,61.009998,61.020000,57.995987,1771500
2021-05-19,60.320000,60.320000,58.869999,59.860001,56.893471,1916100
2021-05-20,59.849998,60.060001,59.169998,59.919998,56.950497,1377700
2021-05-21,60.480000,61.250000,59.935001,59.959999,56.988514,1681200
2021-05-24,60.750000,61.450001,60.660000,61.090000,58.062523,1385900
2021-05-25,60.990002,61.590000,60.259998,60.400002,57.406715,1978700
2021-05-26,60.270000,61.560001,59.560001,60.950001,57.929455,3126400
2021-05-27,61.220001,61.770000,60.939999,61.610001,58.556751,1826700
2021-05-28,61.750000,62.389999,61.250000,62.150002,59.069992,3179000
2021-06-01,62.270000,64.180000,62.270000,63.500000,60.353081,5261800
2021-06-02,63.849998,63.849998,62.410000,63.000000,59.877865,1735300
2021-06-03,62.509998,62.889999,61.779999,62.680000,59.573723,1901900
2021-06-04,64.010002,64.620003,63.799999,64.529999,61.332039,4171000
2021-06-07,65.199997,65.930000,64.495003,64.500000,61.303524,3376100
2021-06-08,64.500000,65.040001,64.010002,64.559998,61.360550,2323000
2021-06-09,64.680000,65.348999,63.959999,65.040001,61.816765,2538100
2021-06-10,65.459999,65.730003,64.470001,64.570000,61.370060,1552000
2021-06-11,64.930000,65.419998,64.680000,64.900002,61.683708,1031000
2021-06-14,64.709999,65.150002,63.430000,63.730000,60.571678,3079900
